Dimension,Reaction indices,Reactions,Parameter type,Uncertainty
1,1,H+O2=O+OH,A,1.15
2,2,H2+O=H+OH,A,1.6
3,3,H2+O=H+OH,A,1.6
4,4,H2+OH=H+H2O,A,1.2
5,6,H2+M=2H+M,A,3.0
6,12,H+O+M=OH+M,A,5.0
7,13,H2O+M=H+OH+M,A,3.2
8,15,H+O2(+M)=HO2(+M),A,2.0
9,15,H+O2(+M)=HO2(+M),M = AR,1.43
10,15,H+O2(+M)=HO2(+M),M = CO2,1.95
11,15,H+O2(+M)=HO2(+M),M = H2O,2.0
12,16,H+HO2=H2+O2,A,2.0
13,17,H+HO2=2OH,A,2.0
14,18,H+HO2=H2O+O,A,3.0
15,19,HO2+O=O2+OH,A,3.0
16,20,HO2+OH=H2O+O2,A,1.6
17,24,H2O2(+M)=2OH(+M),A,2.5
18,24,H2O2(+M)=2OH(+M),M = AR,1.43
19,28,H2O2+OH=H2O+HO2,A,2.0
20,29,H2O2+OH=H2O+HO2,A,1.3
21,30,CO+O(+M)=CO2(+M),A,3.0
22,31,CO+O2=CO2+O,A,10.0
23,32,CO+OH=CO2+H,A,1.2
24,33,CO+OH=CO2+H,A,1.5
25,35,HCO+M=CO+H+M,A,1.7
26,35,HCO+M=CO+H+M,M = AR,1.43
27,36,H+HCO=CO+H2,A,2.5
28,40,HCO+O2=CO+HO2,A,2.0
29,47,CH+H2=CH2+H,A,3.0
30,49,CH+H2O=CH2O+H,A,3.0
31,57,CH2+O=>CO+2H,A,2.5
32,58,CH2+OH=CH2O+H,A,3.0
33,61,CH2+H2=CH3+H,A,4.0
34,62,CH2+O2=>CO+H+OH,A,2.0
35,63,CH2+O2=>CO2+2H,A,2.0
36,79,CH2(S)+H2O(+M)=CH3OH(+M),A,3.0
37,86,H+HCO(+M)=CH2O(+M),A,3.0
38,88,CH2O+H=H2+HCO,A,2.0
39,89,CH2O+H=>CO+H2+H,A,5.0
40,90,CH2O+O=HCO+OH,A,5.0
41,91,CH2O+O=>CO+H+OH,A,5.0
42,92,CH2O+OH=H2O+HCO,A,5.0
43,93,CH2O+OH=>CO+H+H2O,A,5.0
44,94,CH2O+O2=HCO+HO2,A,3.0
45,95,CH2O+HO2=H2O2+HCO,A,2.0
46,101,CH3+H(+M)=CH4(+M),A,1.5
47,101,CH3+H(+M)=CH4(+M),M = AR,1.75
48,101,CH3+H(+M)=CH4(+M),M = H2O,2.0
49,102,CH3+O=CH2O+H,A,1.4
50,106,CH3+OH=CH2(S)+H2O,A,3.0
51,107,CH3+OH=CH2O+H2,A,3.0
52,108,CH3+HO2=CH4+O2,A,3.0
53,109,CH3+HO2=CH3O+OH,A,3.0
54,110,CH3+O2=CH3O+O,A,2.0
55,111,CH3+O2=CH2O+OH,A,3.0
56,113,CH+CH3=C2H3+H,A,10.0
57,114,CH2+CH3=C2H4+H,A,3.0
58,116,2CH3(+M)=C2H6(+M),A,2.0
59,117,2CH3=C2H5+H,A,2.0
60,119,CH2O+CH3=CH4+HCO,A,2.0
61,133,CH2OH(+M)=CH2O+H(+M),A,2.0
62,136,CH2OH+H=CH3+OH,A,2.5
63,143,CH4+H=CH3+H2,A,1.5
64,146,CH4+HO2=CH3+H2O2,A,2.5
65,151,CH3OH+H=CH2OH+H2,A,4.0
66,152,CH3OH+H=CH3O+H2,A,4.0
67,156,CH3OH+OH=CH3O+H2O,A,2.2
68,157,CH3OH+O2=CH2OH+HO2,A,3.0
69,158,CH3OH+HO2=CH2OH+H2O2,A,3.0
70,179,CH3O2+O2=>CH2O+OH+O2,A,3.0
71,183,CH3+CH3O2=2CH3O,A,3.0
72,204,HCCO+O2=>CO+CO2+H,A,5.0
73,205,HCCO+OH=>CH2O+CO,A,3.0
74,206,HCCO+OH=>CO+H+HCO,A,3.0
75,210,C2H2(+M)=H2CC(+M),A,3.0
76,211,C2H+H2=C2H2+H,A,2.0
77,213,C2H2+O=H+HCCO,A,2.0
78,214,C2H2+O=CH2+CO,A,3.2
79,215,C2H2+OH=CH2CO+H,A,3.0
80,219,C2H2+HO2=>H+HCCO+OH,A,5.0
81,222,H2CC+O2=2HCO,A,5.0
82,223,CH2+CO(+M)=CH2CO(+M),A,3.0
83,225,CH2CO+H=CH3+CO,A,3.0
84,229,CH2CO+O=CH2O+CO,A,10.0
85,230,CH2CO+OH=H2O+HCCO,A,10.0
86,231,CH2CO+OH=CH3+CO2,A,6.0
87,232,CH2CO+OH=CH2OH+CO,A,6.0
88,234,C2H2+H(+M)=C2H3(+M),A,2.0
89,236,C2H3+H=H2+H2CC,A,4.0
90,237,C2H3+O=CH2CO+H,A,3.2
91,238,C2H3+OH=C2H2+H2O,A,3.0
92,239,C2H3+OH=CH3+HCO,A,3.0
93,243,C2H3+O2=CH2CHO+O,A,2.0
94,245,C2H3+O2=CH2O+HCO,A,2.0
95,246,C2H3+O2=>CH2O+CO+H,A,2.0
96,250,C2H3+HO2=CH2CHO+OH,A,3.0
97,251,C2H3+CH3=C2H2+CH4,A,3.0
98,252,CH2CHO(+M)=CH2CO+H(+M),A,3.0
99,253,CH2CHO(+M)=CH3+CO(+M),A,3.0
100,255,CH2CHO+H=CH3+HCO,A,3.0
101,256,CH2CHO+H=CH2CO+H2,A,3.0
102,259,CH2CHO+O=>CH2+CO2+H,A,2.0
103,262,CH2CHO+O2=>CH2O+CO+OH,A,5.0
104,263,CH2CHO+HO2=>CH3+CO2+OH,A,3.0
105,283,C2H2OH+O2=>CO+H2O+HCO,A,2.0
106,284,C2H2OH+O2=>CH2O+HCO+O,A,2.0
107,288,C2H4(+M)=H2+H2CC(+M),A,3.0
108,289,C2H4+H=C2H3+H2,A,2.5
109,290,C2H4+O=CH3+HCO,A,2.0
110,292,C2H4+O=CH2CHO+H,A,2.0
111,295,C2H4+OH=C2H3+H2O,A,2.0
112,299,C2H4+O2=C2H3+HO2,A,5.0
113,300,C2H4+HO2=C2H4O+OH,A,1.8
114,301,C2H4+CH3=C2H3+CH4,A,3.2
115,303,CH3CHO(+M)=CH3+HCO(+M),A,2.0
116,326,C2H4O=CH3+HCO,A,4.0
117,336,C2H4+H(+M)=C2H5(+M),A,2.0
118,336,C2H4+H(+M)=C2H5(+M),M = AR,1.75
119,338,C2H5+O=CH2O+CH3,A,4.0
120,339,C2H5+O=CH3CHO+H,A,4.0
121,340,C2H5+O=C2H4+OH,A,4.0
122,341,C2H5+OH=C2H4+H2O,A,3.0
123,342,C2H5+OH=CH2OH+CH3,A,3.0
124,343,C2H5+O2=C2H4+HO2,A,2.0
125,349,C2H5+H(+M)=C2H6(+M),A,2.0
126,350,C2H6+H=C2H5+H2,A,1.4
127,351,C2H6+O=C2H5+OH,A,2.0
128,354,C2H6+HO2=C2H5+H2O2,A,2.0
129,357,C2H6+CH3=C2H5+CH4,A,2.0
130,358,CH3CHOH=CH3CHO+H,A,2.5
131,359,CH3CHOH=C2H3OH+H,A,2.5
132,361,CH3CHOH+H=CH3CHO+H2,A,3.0
133,364,CH3CHOH+O2=CH3CHO+HO2,A,3.0
134,365,CH3CHOH+OH=CH3CHO+H2O,A,4.0
135,367,CH3+CH3CHOH=CH3CHO+CH4,A,4.0
136,369,C2H4OH+H=C2H3OH+H2,A,3.0
137,373,C2H4OH+O2=C2H3OH+HO2,A,3.0
138,378,C2H5OH(+M)=C2H4+H2O(+M),A,3.0
139,380,CH2OH+CH3(+M)=C2H5OH(+M),A,3.0
140,381,C2H5OH+H=CH3CHOH+H2,A,2.0
141,392,C2H5OH+HO2=CH3CHOH+H2O2,A,3.0
142,423,C3H3+O2=CH2CO+HCO,A,2.0
143,424,C3H3+OH=C2H3+HCO,A,5.0
144,425,C3H3+OH=C2H4+CO,A,5.0
145,426,C3H3+HO2=>C2H3+CO+OH,A,5.0
146,427,C3H3+HO2=O2+PC3H4,A,5.0
147,428,C3H3+HO2=AC3H4+O2,A,5.0
148,433,C3H3+H=AC3H4,A,3.0
149,435,C2H4+CH=AC3H4+H,A,5.0
150,436,AC3H4+H=C3H3+H2,A,5.0
151,444,AC3H4+CH3=C3H3+CH4,A,2.0
152,448,AC3H4=PC3H4,A,3.0
153,449,C3H3+H=PC3H4,A,2.0
154,450,C2H4+CH=H+PC3H4,A,5.0
155,451,H+PC3H4=AC3H4+H,A,3.0
156,453,C2H2+CH3=H+PC3H4,A,2.0
157,455,O+PC3H4=CH3+HCCO,A,3.0
158,456,O+PC3H4=C2H4+CO,A,3.0
159,460,HO2+PC3H4=C3H3+H2O2,A,3.0
160,466,C3H3+OH=>C2H3CHO,A,5.0
161,469,C2H3CHO+H=C2H4+HCO,A,5.0
162,477,C2H3CHO+CH3=>C2H3+CH4+CO,A,5.0
163,484,AC3H4+H=C3H5,A,3.0
164,486,C2H3+CH3=C3H5+H,A,3.0
165,487,C2H4+CH2=C3H5+H,A,5.0
166,489,C2H3+C2H5=C3H5+CH3,A,5.0
167,497,C3H5+HO2=>C2H3CHO+H+OH,A,3.0
168,512,CH3CCH2+OH=AC3H4+H2O,A,5.0
169,519,C2H3+CH3(+M)=C3H6(+M),A,3.0
170,520,C3H5+H(+M)=C3H6(+M),A,3.0
171,523,C3H6+H=C3H5+H2,A,2.0
172,525,C3H6+H=C2H4+CH3,A,3.0
173,531,C3H6+O2=C3H5+HO2,A,2.0
174,532,C3H6+OH=C3H5+H2O,A,2.0
175,537,C3H6+CH3=C3H5+CH4,A,5.0
176,552,C3H6+H=IC3H7,A,3.0
177,557,IC3H7+O2=C3H6+HO2,A,2.5
178,563,C2H4+CH3=NC3H7,A,3.0
179,575,CH3COCH3=CH3+CH3CO,A,2.5
180,577,CH3COCH3+H=CH3COCH2+H2,A,2.5
181,579,CH3COCH2+O2=>CH2CO+CH2O+OH,A,3.0
182,580,CH3COCH3+O2=CH3COCH2+HO2,A,5.0
183,582,CH3COCH3+HO2=CH3COCH2+H2O2,A,5.0
184,586,CH2CO+CH3(+M)=CH3COCH2(+M),A,5.0
185,597,C2H5CHO+O2=>C2H5+CO+HO2,A,5.0
186,610,C3H8(+M)=C2H5+CH3(+M),A,2.0
187,611,H+NC3H7=C3H8,A,5.0
188,612,H+IC3H7=C3H8,A,5.0
189,613,C3H8+H=H2+IC3H7,A,3.0
190,614,C3H8+H=H2+NC3H7,A,3.0
191,620,C3H8+OH=H2O+IC3H7,A,2.0
192,670,IC3H7O2=>CH2CHO+CH3+OH,A,5.0
193,691,C4H2+O=H2C4O,A,2.0
194,715,H+IC4H3=C4H2+H2,A,5.0
195,719,HO2+IC4H3=>H2CC+HCCO+OH,A,5.0
196,720,CH3+IC4H3=C4H2+CH4,A,5.0
197,721,CH4+IC4H3=C4H4+CH3,A,5.0
198,726,C2H2+C2H3=C4H4+H,A,3.0
199,735,C4H4+H(+M)=NC4H5(+M),A,5.0
200,742,NC4H5+O2=CH2CHCHCHO+O,A,5.0
201,743,NC4H5+O2=C2H3CHO+HCO,A,5.0
202,751,C4H4+H(+M)=IC4H5(+M),A,5.0
203,755,IC4H5+O=C2H3+CH2CO,A,5.0
204,762,CH3+IC4H5=C4H4+CH4,A,5.0
205,763,C4H5-2=IC4H5,A,5.0
206,764,C4H5-2+H=C3H3+CH3,A,4.0
207,769,2C2H3=C4H6,A,4.0
208,770,C2H4+H2CC=C4H6,A,5.0
209,775,C4H6+H=H2+NC4H5,A,5.0
210,776,C4H6+H=H2+IC4H5,A,5.0
211,778,C4H6+H=AC3H4+CH3,A,5.0
212,779,C2H3+C2H4=C4H6+H,A,2.0
213,780,C4H6+O=NC4H5+OH,A,5.0
214,784,C4H6+OH=H2O+NC4H5,A,3.0
215,785,C4H6+OH=H2O+IC4H5,A,5.0
216,786,C4H6+HO2=C2H3COCH3+OH,A,3.0
217,789,C4H6+CH3=CH4+NC4H5,A,3.0
218,798,C3H3+CH3=C4H612,A,4.0
219,814,C4H6-2=C4H6,A,3.0
220,842,C4H6+H=C4H7,A,3.0
221,843,C4H7+H=C3H5+CH3,A,5.0
222,847,C4H7+O2=C4H6+HO2,A,5.0
223,848,C4H7+HO2=>C3H5+CH2O+OH,A,5.0
224,850,C4H7+CH3=C4H6+CH4,A,5.0
225,851,AC3H4+CH3(+M)=IC4H7(+M),A,4.0
226,855,IC4H7+O=CH2O+CH3CCH2,A,10.0
227,857,IC4H7+O2=>AC3H4+CH2O+OH,A,5.0
228,858,HO2+IC4H7=CH2O+CH3CCH2+OH,A,10.0
229,868,C3H5+CH3=C4H81,A,3.0
230,871,C4H81+H=C3H6+CH3,A,5.0
231,885,C4H82+H=C3H6+CH3,A,5.0
232,892,C4H82+CH3=C4H7+CH4,A,3.0
233,893,H+IC4H7=IC4H8,A,3.0
234,895,CH3+CH3CCH2=IC4H8,A,3.0
235,896,H+IC4H8=H2+IC4H7,A,3.0
236,898,H+IC4H8=C3H6+CH3,A,3.0
237,900,IC4H8+O=HCO+IC3H7,A,3.0
238,903,IC4H8+OH=H2O+IC4H7,A,3.0
239,905,IC4H8+O2=HO2+IC4H7,A,3.0
240,910,CH3+IC4H8=CH4+IC4H7,A,3.0
241,912,IC4H8=C4H81,A,5.0
242,913,IC4H8=C4H82,A,5.0
243,922,HO2+NC4H9=>CH2O+NC3H7+OH,A,5.0
244,925,C4H81+H(+M)=SC4H9(+M),A,3.0
245,963,CH3+NC3H7(+M)=C4H10(+M),A,2.0
246,964,2C2H5(+M)=C4H10(+M),A,2.0
247,966,C4H10+H=H2+SC4H9,A,2.0
248,967,C4H10+O=NC4H9+OH,A,3.0
249,968,C4H10+O=OH+SC4H9,A,3.0
250,969,C4H10+OH=H2O+NC4H9,A,3.0
251,970,C4H10+OH=H2O+SC4H9,A,3.0
252,974,C4H10+HO2=H2O2+SC4H9,A,3.0
253,975,C4H10+CH3=CH4+NC4H9,A,3.0
254,976,C4H10+CH3=CH4+SC4H9,A,3.0
255,979,CH3+IC3H7(+M)=IC4H10(+M),A,2.0
256,980,H+IC4H10=H2+IC4H9,A,3.0
257,981,H+IC4H10=H2+TC4H9,A,3.0
258,984,IC4H10+OH=H2O+IC4H9,A,3.0
